"","var","des"
"396","BEAPATHY","Subject currently manifests meaningful change in behavior — Apathy, withdrawal"
"397","BEDEP","Subject currently manifests meaningful change in behavior — Depressed mood"
"398","BEVHALL","Subject currently manifests meaningful change in behavior — Psychosis — Visual hallucinations"
"399","BEVWELL","If yes, are the hallucinations well- formed and detailed?"
"400","BEVHAGO","If well-formed, clear-cut visual hallucinations, at what age did these hallucinations begin?"
"401","BEAHALL","Subject currently manifests meaningful change in behavior — Psychosis — Auditory hallucinations"
"402","BEDEL","Subject currently manifests meaningful change in behavior — Psychosis — Abnormal, false, or delusional beliefs"
"403","BEDISIN","Subject currently manifests meaningful change in behavior — Disinhibition"
"404","BEIRRIT","Subject currently manifests meaningful change in behavior — Irritability"
"405","BEAGIT","Subject currently manifests meaningful change in behavior — Agitation"
"406","BEPERCH","Subject currently manifests meaningful change in behavior — Personality change"
"407","BEREM","Subject currently manifests meaningful change in behavior — REM sleep behavior disorder"
"408","BEREMAGO","If yes, at what age did the REM sleep behavior disorder begin?"
"409","BEANX","Subject currently manifests meaningful change in behavior — Anxiety"
"410","BEOTHR","Subject currently manifests meaningful change in behavior — Other"
"411","BEOTHRX","Subject currently manifests meaningful change in behavior — Other, specify"
"412","NACCBEHF","Indicate the predominant symptom that was first recognized as a decline in the subject’s behavior"
"413","NACCBEFX","Specification of other predominant symptom that was first recognized as a decline in the subject’s behavior"
"414","BEMODE","Mode of onset of behavioral symptoms"
"415","BEMODEX","Specification of other mode of onset of behavioral symptoms"
"416","BEAGE","Based on the clinician’s assessment, at what age did the behavioral symptoms begin?"
"417","DECCLMOT","Based on the clinician’s judgment, is the subject currently experiencing any motor symptoms?"
"418","MOGAIT","Indicate whether the subject currently has meaningful changes in motor function — Gait disorder"
"419","MOFALLS","Indicate whether the subject currently has meaningful changes in motor function — Falls"
"420","MOTREM","Indicate whether the subject currently has meaningful changes in motor function — Tremor"
"421","MOSLOW","Indicate whether the subject currently has meaningful changes in motor function — Slowness"
"422","NACCMOTF","Indicate the predominant symptom that was first recognized as a decline in the subject’s motor function"
"423","MOMODE","Mode of onset of motor symptoms"
"424","MOMODEX","Specification for other mode of onset of motor symptoms"
"425","MOMOPARK","Were changes in motor function suggestive of Parkinsonism?"
"426","PARKAGE","If yes, at what age did the motor symptoms suggestive of Parkinsonism begin?"
"427","MOMOALS","Were changes in motor function suggestive of amyotrophic lateral sclerosis?"
"428","ALSAGE","If yes, at what age did the motor symptoms suggestive of ALS begin?"
"429","MOAGE","Based on the clinician’s assessment, at what age did the motor changes begin?"
"430","COURSE","Overall course of decline of cognitive/ behavioral/motor syndrome"
"431","FRSTCHG","Indicate the predominant domain that was first recognized as changed in the subject"
"432","LBDEVAL","Is the subject a potential candidate for further evaluation for Lewy body disease?"
"433","FTLDEVAL","Is the subject a potential candidate for further evaluation for frontotemporal lobar degeneration?"
"434","MMSECOMP","Was any part of the MMSE completed?"
"435","MMSELOC","Administration of the MMSE was:"
"436","MMSELAN","Language of MMSE administration"
"437","MMSELANX","Language of MMSE administration — Other (specify)"
"438","MMSEVIS","Subject was unable to complete one or more sections due to visual impairment"
"439","MMSEHEAR","Subject was unable to complete one or more sections due to hearing impairment"
"440","MMSEORDA","Orientation subscale score — Time"
"441","MMSEORLO","Orientation subscale score — Place"
"442","PENTAGON","Intersecting pentagon subscale score"
"443","NACCMMSE","Total MMSE score (using D-L-R-O-W)"
"444","TRAILALI","Part A — Number of correct lines"
"445","TRAILB","Trail Making Test Part B — Totalnumber of seconds to complete"
"446","TRAILBRR","Part B — Number of commissionerrors"
"447","TRAILBLI","Part B — Number of correct lines"
"448","WAIS","WAIS-R Digit Symbol"
"449","BOSTON","Boston Naming Test (30) — Totalscore"
"450","UDSVERFC","Number of correct F-words generatedin 1 minute"
"451","UDSVERFN","Number of F-words repeated in 1minute"
"452","UDSVERNF","Number of non-F-words and ruleviolation errors in 1 minute"
"453","UDSVERLC","Number of correct L-words generatedin 1 minute"
"454","UDSVERLR","Number of L-words repeated in 1minute"
"455","UDSVERLN","Number of non-L-words and ruleviolation errors in 1 minute"
"456","UDSVERTN","Total number of correct F-words andL-words"
"457","UDSVERTE","Total number of F-word and L-wordrepetition errors"
"458","UDSVERTI","Total number of non-F/L-words andrule violation errors"
"459","COGSTAT","Per clinician, based on theneuropsychological examination, thesubject’s cognitive status is deemed"
"460","NACCC1","Form date discrepancy between UDSForm A1 and Form C1"
"461","MOCACOMP","Was any part of MoCA administered?"
"462","MOCAREAS","If no part of MoCA administered,reason code"
"463","MOCALOC","Where was MoCA administered?"
"464","MOCALAN","Language of MoCA administration"
"465","MOCALANX","Language of MoCA administration —Other, specify"
"466","MOCAVIS","Subject was unable to completeone or more sections due to visualimpairment"
"467","MOCAHEAR","Subject was unable to complete one or more sections due to hearing impairment"
"468","MOCATOTS","MoCA Total Raw Score — uncorrected"
"469","NACCMOCA","MoCA Total Score — corrected for education"
"470","MOCATRAI","MoCA: Visuospatial/executive — Trails"
"471","MOCACUBE","MoCA: Visuospatial/executive — Cube"
"472","MOCACLOC","MoCA: Visuospatial/executive — Clock contour"
"473","MOCACLON","MoCA: Visuospatial/executive — Clock numbers"
"474","MOCACLOH","MoCA: Visuospatial/executive — Clock hands"
"475","MOCANAMI","MoCA: Language — Naming"
"476","MOCAREGI","MoCA: Memory — Registration (two trials)"
"477","MOCADIGI","MoCA: Attention — Digits"
"478","MOCALETT","MoCA: Attention — Letter A"
"479","MOCASER7","MoCA: Attention — Serial 7s"
"480","MOCAREPE","MoCA: Language — Repetition"
"481","MOCAFLUE","MoCA: Language — Fluency"
"482","MOCAABST","MoCA: Abstraction"
"483","MOCARECN","MoCA: Delayed recall — No cue"
"484","MOCARECC","MoCA: Delayed recall — Category cue"
"485","MOCARECR","MoCA: Delayed recall — Recognition"
"486","MOCAORDT","MoCA: Orientation — Date"
"487","MOCAORMO","MoCA: Orientation — Month"
"488","MOCAORYR","MoCA: Orientation — Year"
"489","MOCAORDY","MoCA: Orientation — Day"
"490","MOCAORPL","MoCA: Orientation — Place"
"491","MOCAORCT","MoCA: Orientation — City"
"492","CRAFTVRS","Craft Story 21 Recall (Immediate) — Total story units recalled, verbatim scoring"
"493","CRAFTURS","Craft Story 21 Recall (Immediate) — Total story units recalled, paraphrase scoring"
"494","DIGFORCT","Number Span Test: Forward — Number of correct trials"
"495","DIGFORSL","Number Span Test: Forward — Longest span forward"
"496","DIGBACCT","Number Span Test: Backward — Number of correct trials"
"497","DIGBACLS","Number Span Test: Backward — Longest span backward"
"498","CRAFTDVR","Craft Story 21 Recall (Delayed) — Total story units recalled, verbatim scoring"
"499","CRAFTDRE","Craft Story 21 Recall (Delayed) — Total story units recalled, paraphrase scoring"
"500","CRAFTDTI","Craft Story 21 Recall (Delayed) — Delay time"
"501","CRAFTCUE","Craft Story 21 Recall (Delayed) — Cue (boy) needed"
"502","MINTTOTS","Multilingual Naming Test (MINT) — Total score"
"503","MINTTOTW","Multilingual Naming Test (MINT) — Total correct without semantic cue"
"504","MINTSCNG","Multilingual Naming Test (MINT) — Semantic cues: Number given"
"505","MINTSCNC","Multilingual Naming Test (MINT) — Semantic cues: Number correct with cue"
"506","MINTPCNG","Multilingual Naming Test (MINT) — Phonemic cues: Number given"
"507","MINTPCNC","Multilingual Naming Test (MINT) — Phonemic cues: Number correct with cue"
"508","NACCC2","Form date discrepancy between UDS Form A1 and Form C2"
"509","MODCOMM","Modality of communication used to administer neuropsychological battery"
"510","MOCBTOTS","MoCA Blind Total raw score – uncorrected"
"511","NACCMOCB","MoCA-Blind Total Score — corrected for education"
"512","REY1REC","Rey Auditory Verbal Learning: Trial 1 total recall"
"513","REY1INT","Rey Auditory Verbal Learning: Trial 1 intrusions"
"514","REY2REC","Rey Auditory Verbal Learning: Trial 2 total recall"
"515","REY2INT","Rey Auditory Verbal Learning: Trial 2 intrusions"
"516","REY3REC","Rey Auditory Verbal Learning: Trial 3 total recall"
"517","REY3INT","Rey Auditory Verbal Learning: Trial 3 intrusions"
"518","REY4REC","Rey Auditory Verbal Learning: Trial 4 total recall"
"519","REY4INT","Rey Auditory Verbal Learning: Trial 4 intrusions"
"520","REY5REC","Rey Auditory Verbal Learning: Trial 5 total recall"
"521","REY5INT","Rey Auditory Verbal Learning: Trial 5 intrusions"
"522","REY6REC","Rey Auditory Verbal Learning: Trial 6 total recall"
"523","REY6INT","Rey Auditory Verbal Learning: Trial 6 intrusions"
"524","OTRAILA","Oral Trail Making Test – Part A: Total number of seconds to complete"
"525","OTRLARR","Oral Trail Making Test – Part A: Number of commission errors"
"526","OTRLALI","Oral Trail Making Test – Part A: Number of correct lines"
"527","OTRAILB","Oral Trail Making Test Part B: Total number of seconds to complete"
"528","OTRLBRR","Oral Trail Making Test Part B: Number of commission errors"
"529","OTRLBLI","Oral Trail Making Test Part B: Number of correct lines"
"530","REYDREC","Rey Auditory Verbal Learning: total delayed recall"
"531","REYDINT","Rey Auditory Verbal Learning: delayed intrusions"
"532","REYTCOR","Rey Auditory Verbal Learning: recognition total correct"
"533","REYFPOS","Rey Auditory Verbal Learning: recognition total false positives"
"534","VNTTOTW","Verbal naming test: total correct without a cue"
"535","VNTPCNC","Verbal naming test: total correct with a phonemic cue"
"536","RESPVAL","How valid do you think theparticipant’s responses are?"
"537","RESPHEAR","What makes this participant’sresponses less valid? Hearingimpairment"
"538","RESPDIST","What makes this participant’sresponses less valid? Distractions"
"539","RESPINTR","What makes this participant’sresponses less valid? Interruptions"
"540","RESPDISN","What makes this participant’sresponses less valid? Lack of effort ordisinterest"
"541","RESPFATG","What makes this participant’sresponses less valid? Fatigue"
"542","RESPEMOT","What makes this participant’sresponses less valid? Emotionalissues"
"543","RESPASST","What makes this participant’sresponses less valid? Unapprovedassistance"
"544","RESPOTH","What makes this participant’sresponses less valid? Other"
"545","RESPOTHX","What makes this participant’sresponses less valid? Other (specify)"
"546","WHODIDDX","Who did diagnosis"
"547","DXMETHOD","Diagnosis method"
"548","NORMCOG","Normal cognition and behavior"
"549","DEMENTED","Met criteria for dementia"
"550","NACCUDSD","Cognitive status at UDS visit"
"551","AMNDEM","Dementia syndrome — Amnesticmultidomain dementia syndrome"
"552","PCA","Dementia syndrome — Posteriorcortical atrophy syndrome (or primaryvisual presentation)"
"553","NACCPPA","Primary progressive aphasia (PPA)with cognitive impairment"
"554","NACCPPAG","Dementia syndrome — Primaryprogressive aphasia (PPA) subtypeaccording to the criteria outlined byGorno-Tempini et al. 2011"
"555","NACCPPME","Primary progressive aphasia (PPA)subtype according to older criteriaoutlined by Mesulam et al (2001 and2003)"
"556","NACCBVFT","Dementia syndrome — behavioral variant FTD syndrome (bvFTD)"
"557","NACCLBDS","Dementia syndrome — Lewy body dementia syndrome"
"558","NAMNDEM","Dementia syndrome — Non-amnestic multidomain dementia, not PCA, PPA, bvFTD, or DLB syndrome"
"559","NACCTMCI","Mild cognitive impairment (MCI) type"
"560","NACCMCIL","MCI domain affected — language"
"561","NACCMCIA","MCI domain affected — attention"
"562","NACCMCIE","MCI domain affected — executive function"
"563","NACCMCIV","MCI domain affected — visuospatial"
"564","IMPNOMCI","Cognitively impaired, not MCI"
"565","AMYLPET","Abnormally elevated amyloid on PET"
"566","AMYLCSF","Abnormally low amyloid in CSF"
"567","FDGAD","FDG-PET pattern of AD"
"568","HIPPATR","Hippocampal atrophy"
"569","TAUPETAD","Tau PET evidence for AD"
"570","CSFTAU","Abnormally elevated CSF Tau or pTau"
"571","FDGFTLD","FDG-PET evidence for frontal or anterior temporal hypometabolism for FTLD"
"572","TPETFTLD","Tau PET evidence for FTLD"
"573","MRFTLD","Structural MR evidence for frontal or anterior temporal atrophy for FTLD"
"574","DATSCAN","Dopamine transporter scan (DATscan) evidence for Lewy body disease"
"575","OTHBIOM","Biomarker findings — Other"
"576","OTHBIOMX","Biomarker findings — Other (specify)"
"577","IMAGLINF","Large vessel infarct(s)"
"578","IMAGLAC","Lacunar infarct(s)"
"579","IMAGMACH","Macrohemorrhage(s)"
"580","IMAGMICH","Microhemorrhage(s)"
"581","IMAGMWMH","Moderate white-matter hyperintensity (CHS score 5-6)"
"582","IMAGEWMH","Extensive white-matter hyperintensity (CHS score 7-8)"
"583","OTHMUT","Does the subject have a hereditary mutation other than an AD or FTLD mutation?"
"584","OTHMUTX","Other mutation, specify"
"585","NACCALZD","Presumptive etiologic diagnosis of the cognitive disorder — Alzheimer’s disease"
"586","NACCALZP","Primary, contributing, or non- contributing cause of observed cognitive impairment — Alzheimer’s disease (AD)"
"587","PROBAD","Presumptive etiologic diagnosis of the cognitive disorder — Probable Alzheimer’s disease"
"588","PROBADIF","Primary, contributing, or non- contributing cause of cognitive impairment — Probable Alzheimer’s disease"
"589","POSSAD","Presumptive etiologic diagnosis of the cognitive disorder — Possible Alzheimer’s disease"
"590","POSSADIF","Primary, contributing, or non- contributing cause of cognitive impairment — Possible Alzheimer’s disease"
"591","NACCLBDE","Presumptive etiologic diagnosis of the cognitive disorder — Lewy body disease"
"592","NACCLBDP","Primary, contributing, or non- contributing cause of cognitive impairment — Lewy body disease (LBD)"
"593","PARK","Parkinson’s disease present"
"594","MSA","Presumptive etiologic diagnosis of the cognitive disorder — Multiple system atrophy (MSA)"
"595","MSAIF","Primary, contributing, or non- contributing cause of cognitive impairment — Multiple system atrophy (MSA)"
"596","PSP","Presumptive etiologic diagnosis of the cognitive disorder — primary supranuclear palsy (PSP)"
"597","PRIONIF","Primary, contributing, or non- contributing cause of cognitive impairment — Prion disease (CJD, other)"
"598","BRNINJ","Presumptive etiologic diagnosis of the cognitive disorder — Traumatic brain injury (TBI)"
"599","BRNINJIF","Primary, contributing, or non- contributing cause of cognitive impairment — Traumatic brain injury (TBI)"
"600","BRNINCTE","Symptoms consistent with chronic traumatic encephalopathy (CTE)"
"601","HYCEPH","Presumptive etiologic diagnosis of the cognitive disorder — Normal-pressure hydrocephalus (NPH)"
"602","HYCEPHIF","Primary, contributing, or non- contributing cause of cognitive impairment — Normal-pressure hydrocephalus (NPH)"
"603","EPILEP","Presumptive etiologic diagnosis of the cognitive disorder — Epilepsy"
"604","EPILEPIF","Primary, contributing, or non- contributing cause of cognitive impairment — Epilepsy"
"605","NEOP","Presumptive etiologic diagnosis of the cognitive disorder — CNS neoplasm"
"606","NEOPIF","Primary, contributing, or non- contributing cause of cognitive impairment — CNS neoplasm"
"607","NEOPSTAT","CNS neoplasm — benign or malignant"
"608","HIV","Presumptive etiologic diagnosis of the cognitive disorder — Human immunodeficiency virus (HIV)"
"609","HIVIF","Primary, contributing, or non- contributing cause of cognitive impairment — HIV"
"610","OTHCOG","Presumptive etiologic diagnosis of the cognitive disorder — Other neurological, genetic, or infectious condition"
"611","OTHCOGIF","Primary, contributing, or non- contributing cause of cognitive impairment — Other neurological, genetic, or infectious condition"
"612","OTHCOGX","Presumptive etiologic diagnosis of the cognitive disorder — Other neurological, genetic, or infectious conditions (specify)"
"613","DEP","Presumptive etiologic diagnosis of the cognitive disorder — Depression"
"614","DEPIF","Primary, contributing, or non- contributing cause of cognitive impairment — Depression"
"615","DEPTREAT","Depression — Treated or untreated"
"616","BIPOLDX","Presumptive etiologic diagnosis of the cognitive disorder — Bipolar disorder"
"617","BIPOLDIF","Primary, contributing, or non- contributing cause of cognitive impairment — bipolar disorder"
"618","SCHIZOP","Presumptive etiologic diagnosis of the cognitive disorder — Schizophrenia or other psychosis"
"619","SCHIZOIF","Primary, contributing, or non- contributing cause of cognitive impairment — Schizophrenia or other psychosis"
"620","ANXIET","Presumptive etiologic diagnosis of the cognitive disorder — Anxiety"
"621","ANXIETIF","Primary, contributing, or non- contributing cause of cognitive impairment — Anxiety"
"622","DELIR","Presumptive etiologic diagnosis of the cognitive disorder — Delirium"
"623","DELIRIF","Primary, contributing, or non- contributing cause of cognitive impairment — Delirium"
"624","PTSDDX","Presumptive etiologic diagnosis of the cognitive disorder — Post-traumatic stress disorder (PTSD)"
"625","PTSDDXIF","Primary, contributing, or non- contributing cause of cognitive impairment — PTSD"
"626","OTHPSY","Presumptive etiologic diagnosis of the cognitive disorder — Other psychiatric disease"
"627","OTHPSYIF","Primary, contributing, or non- contributing cause of cognitive impairment — Other psychiatric disease"
"628","OTHPSYX","Presumptive etiologic diagnosis of the cognitive disorder — Other psychiatric disease (specify)"
"629","ALCDEM","Presumptive etiologic diagnosis of the cognitive disorder — Cognitive impairment due to alcohol abuse"
"630","ALCDEMIF","Primary, contributing, or non- contributing cause of cognitive impairment — Alcohol abuse"
"631","ALCABUSE","Current alcohol abuse"
"632","NACCNORM","Normal cognition at all visits to date"
"633","NACCIDEM","Incident dementia during UDS follow- up"
"634","NACCMCII","Incident MCI during UDS follow-up"
"635","NACCADMU","Does the subject have a dominantly inherited AD mutation?"
"636","NACCFTDM","Does the subject have an hereditary FTLD mutation?"
"637","NACCETPR","Primary etiologic diagnosis (MCI); impaired, not MCI; or dementia"
"638","CANCER","Cancer present in the last 12 months (excluding non-melanoma skin cancer), primary or metastatic"
"639","CANCSITE","Cancer primary site specification"
"640","DIABET","Diabetes present at visit"
"641","MYOINF","Myocardial infarct present within the past 12 months"
"642","CONGHRT","Congestive heart failure present"
"643","AFIBRILL","Atrial fibrillation present"
"644","HYPERT","Hypertension present"
"645","ANGINA","Angina present"
"646","HYPCHOL","Hypercholesterolemia present"
"647","VB12DEF","B12 deficiency present"
"648","THYDIS","Thyroid disease present"
"649","ARTH","Arthritis present"
"650","ARTYPE","Arthritis type"
"651","ARTYPEX","Other arthritis type specification"
"652","ARTUPEX","Arthritis region affected — upper extremity"
"653","ARTLOEX","Arthritis region affected — lower extremity"
"654","ARTSPIN","Arthritis region affected — spine"
"655","ARTUNKN","Arthritis region affected — unknown"
"656","URINEINC","Incontinence present — urinary"
"657","BOWLINC","Incontinence present — bowel"
"658","SLEEPAP","Sleep apnea present"
"659","REMDIS","REM sleep behavior disorder (RBD) present"
"660","HYPOSOM","Hyposomnia/insomnia present"
"661","SLEEPOTH","Other sleep disorder present"
"662","SLEEPOTX","Other sleep disorder specification"
"663","ANGIOCP","Carotid procedure: angioplasty, endarterectomy, or stent within the past 12 months"
"664","ANGIOPCI","Percutaneous coronary intervention: angioplasty and/or stent within the past 12 months"
"665","PACEMAKE","Procedure: pacemaker and/or defibrillator within the past 12 months"
"666","HVALVE","Procedure: heart valve replacement or repair within the past 12 months"
"667","ANTIENC","Antibody-mediated encephalopathy within the past 12 months"
"668","ANTIENCX","Antibody-mediated encephalopathy, specify"
"669","OTHCOND","Other medical conditions or procedures within the past 12 months not listed above"
"670","OTHCONDX","Other medical conditions specification"
"671","LANGA1","A1 Subject Demographics — language"
"672","LANGA2","A2 Co-participant Demographics — language"
"673","LANGA3","A3 Subject Family History — language"
"674","LANGA4","A4 Subject Medications — language"
"675","LANGA5","A5 Subject Health History — language"
"676","LANGB1","B1 Evaluation Form: Physical — language"
"677","LANGB4","B4 Global Staging — CDR: Standard and Supplemental — language"
"678","LANGB5","B5 Behavioral Assessment: NPI-Q — language"
"679","LANGB6","B6 Behavioral Assessment: GDS — language"
"680","LANGB7","B7 Functional Assessment: FAS — language"
"681","LANGB8","B8 Neurological Examination Findings — language"
"682","LANGB9","B9 Clinician Judgment of Symptoms — language"
"683","LANGC2","C2 Neuropsychological Battery Scores — language"
"684","LANGD1","D1 Clinician Diagnosis — language"
"685","LANGD2","D2 Clinician-assessed Medical Conditions — language"
"686","LANGB3F","B3F Supplemental UPDRS — language"
"687","LANGB9F","B9F Clinical PPA and bvFTD Features — language"
"688","LANGC1F","C1F Neuropsychological Battery Summary Scores — language"
"689","LANGC2F","C2F Social Norms Questionnaire — language"
"690","LANGC3F","C3F Social Behavior Observer Checklist — language"
"691","LANGC4F","C4F Behavioral Inhibition Scale — language"
"692","LANGC5F","C5F Interpersonal Reactivity Index — language"
"693","LANGC6F","C6F Revised Self-monitoring Scale — language"
"694","LANGE2F","E2F Imaging Available — language"
"695","LANGE3F","E3F Imaging in Diagnosis — language"
"696","LANGCLS","CLS Subject Demographics — language"
"697","CLSSUB","B3F Subject Demographics — language"
"698","NACCSPNL","Average Spanish level (average of Questions 6 – 9)"
"699","NACCENGL","Average English level (average of Questions 11 – 14)"
"700","APREFLAN","In what language do you prefer to be evaluated (English or Spanish)"
"701","AYRSPAN","How many years have you lived in an environment where people generally speak Spanish"
"702","AYRENGL","How many years have you lived in anenvironment where people generallyspeak English"
"703","APCSPAN","Please approximate the percentage oftime during a normal/average day thatyou use Spanish"
"704","APCENGL","Please approximate the percentage oftime during a normal/average day thatyou use English"
"705","ASPKSPAN","In your opinion, what is your level ofproficiency when you speak Spanish"
"706","AREASPAN","In your opinion, what is your level ofproficiency when you read Spanish"
"707","AWRISPAN","In your opinion, what is your level ofproficiency when you write in Spanish"
"708","AUNDSPAN","In your opinion, what is your level ofproficiency for understanding spoken/oral Spanish"
"709","ASPKENGL","In your opinion, what is your level ofproficiency when you speak English"
"710","AREAENGL","In your opinion, what is your level ofproficiency when you read English"
"711","AWRIENGL","In your opinion, what is your level ofproficiency when you write in English"
"712","AUNDENGL","In your opinion, what is your level ofproficiency for understanding spoken/oral English"
"713","NACCFTD","One or more FTLD Module visitscompleted"
"714","NACCLBDM","One or more LBD Module visitscompleted"
"715","NACCNMRI","Total number of MRI sessions"
"716","NACCMRSA","At least one MRI scan available"
"717","NACCNAPA","Total number of amyloid PET scansavailable"
"718","NACCAPSA","At least one amyloid PET scanavailable"
"719","NACCACSF","One or more measures of Aβ1–42reported"
"720","NACCPCSF","One or more measures of P-tau181Preported"
"721","NACCTCSF","One or more measures of T-taureported"
"722","NACCAUTP","Neuropathology data from an autopsyis available"
